	Gewinn Gesamt	Kosten
155	-154793.65849413423	180372.35549413424
156	-154602.25549413424	180376.87849413423
157	-150607.09149413425	180381.40049413423
158	-150393.07749413425	180385.92349413424
159	-154633.71149413424	180390.44549413424
160	-154456.92649413424	180394.96849413423
161	-154142.87449413424	180399.49049413422
162	-153960.31149413425	180404.01349413424
163	-152525.76349413424	180408.53549413424
164	-152353.82349413424	180413.05849413422
165	-146531.65349413425	180417.58149413424
166	-146309.51749413426	180422.10349413424
167	-153582.76249413425	180426.62649413425
168	-153403.95549413425	180431.14849413425
169	-152992.12749413424	180435.67149413424
170	-152814.96449413424	180440.19349413423
171	-148390.16549413424	180444.71649413425
172	-148186.90049413423	180449.23849413425
173	-152118.94649413423	180453.76149413423
174	-151925.08549413423	180458.28349413423
175	-152872.52549413423	180462.80649413425
176	-152688.12149413425	180467.32949413423
177	-148270.46349413425	180471.85149413423
178	-148066.11849413425	180476.37449413424
179	-145787.89049413425	180480.89649413424
180	-145600.45749413423	180485.41949413423
181	-149953.88749413425	180489.94149413423
182	-149791.25149413425	180494.46449413424
183	-143304.72749413425	180498.98649413424
184	-143095.59049413423	180503.50949413422
185	-140576.55649413425	180508.03149413425
186	-140350.05049413425	180512.55449413424
187	-149210.74349413425	180517.07749413422
188	-149018.11949413424	180521.59949413425
189	-147754.07749413425	180526.12249413424
190	-147574.09449413425	180530.64449413423
191	-148712.68349413422	180535.16749413425
192	-148547.07549413425	180539.68949413425
193	-140707.68149413425	180544.21249413423
194	-140482.27149413424	180548.73449413423
195	-143279.77449413424	180553.25749413425
196	-143079.57149413423	180557.77949413424
197	-147658.58449413424	180562.30249413423
198	-147466.91849413424	180566.82449413423
199	-143844.96849413426	180571.34749413424
200	-143637.31849413423	180575.87049413423
201	-146963.63849413424	180580.39249413423
202	-146787.67049413425	180584.91549413424
203	-143524.49049413425	180589.43749413424
204	-143330.67649413424	180593.96049413423
205	-146211.50349413423	180598.48249413425
206	-146042.91249413425	180603.00549413424
207	-140297.58949413424	180607.52749413424
208	-140088.66049413424	180612.05049413425
209	-143778.58649413424	180616.57249413425
210	-143575.66549413424	180621.09549413424
